               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.048056,            0.027222,            0.028003,             0.77937,             0.75117,             0.75446,              0.3557,            0.056506,            0.031533,            0.029417,           0.0061574,           0.0061574,           0.0061574
                 138,            0.047464,             0.02912,            0.028065,             0.79898,              0.7618,             0.76397,             0.34713,             0.05772,            0.035332,             0.03078,           0.0061107,           0.0061107,           0.0061107
                 139,            0.048954,            0.032487,             0.02766,             0.78958,              0.7332,              0.7482,             0.34796,            0.058829,            0.035079,              0.0296,            0.006064,            0.006064,            0.006064
                 140,            0.049826,            0.030365,            0.028343,             0.79401,             0.77716,             0.77331,             0.38187,            0.055347,            0.032207,            0.029311,           0.0060172,           0.0060172,           0.0060172
                 141,            0.047277,            0.028222,            0.027958,             0.76799,             0.79378,             0.76608,             0.36907,            0.056824,            0.032139,            0.029158,           0.0059704,           0.0059704,           0.0059704
                 142,            0.047344,            0.028547,            0.027608,             0.77076,             0.80138,             0.77649,             0.38108,             0.05579,            0.031781,            0.029194,           0.0059235,           0.0059235,           0.0059235
                 143,            0.048752,            0.029628,            0.027292,             0.80106,             0.75547,             0.76892,             0.36328,            0.056262,             0.03246,            0.029385,           0.0058766,           0.0058766,           0.0058766
                 144,            0.046338,            0.027938,            0.027175,             0.80793,             0.77668,             0.79696,             0.36913,             0.05551,            0.032649,            0.029296,           0.0058296,           0.0058296,           0.0058296
                 145,            0.048876,            0.029119,            0.027569,              0.7849,             0.78058,             0.78282,             0.37292,            0.056473,            0.031937,             0.02913,           0.0057826,           0.0057826,           0.0057826
                 146,            0.046814,            0.028397,            0.027817,             0.78221,             0.79974,              0.7909,             0.36847,            0.055489,            0.031603,            0.029091,           0.0057355,           0.0057355,           0.0057355
                 147,            0.048351,             0.02949,            0.027697,             0.80947,             0.72362,             0.75931,             0.35908,            0.056391,            0.033755,            0.029838,           0.0056884,           0.0056884,           0.0056884
                 148,            0.047724,            0.028963,            0.027557,              0.7712,             0.77227,             0.76646,              0.3557,            0.056783,            0.034151,             0.02958,           0.0056413,           0.0056413,           0.0056413
                 149,            0.047375,             0.02862,            0.027104,             0.73112,             0.78176,             0.74704,             0.31832,            0.059478,            0.032881,            0.029824,           0.0055942,           0.0055942,           0.0055942
                 150,            0.048107,             0.02781,            0.028295,              0.7538,             0.80934,             0.76904,             0.34808,            0.056939,            0.031989,            0.029434,           0.0055471,           0.0055471,           0.0055471
                 151,            0.047023,            0.027579,            0.027922,             0.73462,             0.79128,             0.75719,             0.30578,            0.059058,             0.03183,            0.029453,              0.0055,              0.0055,              0.0055
                 152,             0.04676,            0.030271,            0.027133,             0.81839,             0.73656,             0.76059,             0.37232,            0.055269,             0.03218,             0.02964,           0.0054529,           0.0054529,           0.0054529
                 153,            0.046184,            0.029715,              0.0273,             0.77856,             0.78901,             0.77264,             0.36135,            0.056065,            0.032975,            0.029589,           0.0054058,           0.0054058,           0.0054058
                 154,            0.045738,            0.026876,            0.027866,             0.81072,             0.75207,             0.78618,             0.38592,            0.055269,            0.032504,            0.029543,           0.0053587,           0.0053587,           0.0053587
                 155,            0.045428,            0.026662,            0.027349,              0.8013,             0.77038,             0.77623,             0.34715,            0.056174,            0.035072,            0.029971,           0.0053116,           0.0053116,           0.0053116
                 156,            0.047802,            0.027379,            0.026467,             0.78837,              0.7702,               0.764,             0.37224,            0.056018,            0.033168,            0.029607,           0.0052645,           0.0052645,           0.0052645
                 157,            0.046508,            0.027487,             0.02664,             0.75504,             0.77412,             0.75514,             0.35673,            0.055663,            0.033494,            0.029437,           0.0052174,           0.0052174,           0.0052174
